"Drawing number","Product name","Client name","区分","材質","加工方法","外注先","板厚","発注№","Note","Drawing","見積書","注文書","ミルシート","作業指示書","検査成績書","不具合管理表","作業見本","製品見本","Registration date","URL"
"1F037301","梱包BOX組立品(補用)","ダイキン工業株式会社","通常","K7732P6G/BK","","","","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7817641"
"1F041789A","梱包BOX組立品","ダイキン工業株式会社","通常","K5AF","","","4.50,0.80","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7817634"
"4P808171","取付板","ダイキン工業株式会社","通常","SGCC-ZN22","","","1.2","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816636"
"R3638302A","ファン電動機台","ダイキン工業株式会社","通常","SPGC","","","0.8","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816715"
"3EA89001C","電流ヒューズ","オーケー器材株式会社","通常","スズ,銅","","","0.7","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910109"
"3P055568F","電磁接触器PAK-6J31C","オーケー器材株式会社","通常","","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910112"
"3SB45436N","端子台TB-ETD-3P-D","オーケー器材株式会社","通常","PBT+30%GF,SNB7F","","","5.5","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910124"
"3SB45279E","ヒューズホルダFFH-03(線間5.2×20ヒューズ用)","オーケー器材株式会社","通常","K1,K2,K3,K4","","","1.40,4.00","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910129"
"MI30061Q","単独形丸形裸圧着端子","オーケー器材株式会社","通常","C1100","","","0.5","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910137"
"4P730434B","ワイヤハーネス","オーケー器材株式会社","通常","UL1015 670/20 CAVUS","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910155"
"4P643056C","樹脂バンド","オーケー器材株式会社","通常","66NYLON","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910157"
"4SK03003B","十字穴付キナベ小ネジ(M4)","オーケー器材株式会社","通常","B鋼","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910159"
"4SK03301E","十字穴付きトラス小ねじ(M4)","オーケー器材株式会社","通常","鉄,生地","","","2.60,2.00","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910161"
"NE41015L","樹脂バンド","オーケー器材株式会社","通常","POM","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910165"
"NE43027S","樹脂バンド","オーケー器材株式会社","通常","66NYLON","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910168"
"4SA01118F","六角タッピンネジ3種(M5)","オーケー器材株式会社","通常","鉄(swrch18A)","","","3.00,16.00,25.00","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910171"
"4SB00049B","十字穴付ナベ小ネジ(M4)","オーケー器材株式会社","通常","STEEL,ジンクプレーティング (JISH H8610)","","","5","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910174"
"4SH00038B","十字穴付きトラス小ネジ(M4)","オーケー器材株式会社","通常","STS1BK","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910176"
"RI40022S","付属品袋","オーケー器材株式会社","通常","NYLON (TO MITSUI S-3012)","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910178"
"4P805557","シール材","オーケー器材株式会社","通常","イノアック製 C-4205","","","2","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910180"
"4PA65858D","表示銘板(ヒューズ容量)","オーケー器材株式会社","通常","PET FILM","","","0.10,0.05,5.00","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910183"
"4P134089A","樹脂バンド","オーケー器材株式会社","通常","PA66","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910194"
"4P577236","シール材","オーケー器材株式会社","通常","FOAM POLYETHYLENE","","","25.00,30.00","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910201"
"4P178117D","配線表示板（端子台用）","オーケー器材株式会社","通常","JIS PVC","","","0.8","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910198"
"4P810484A","パッキングケース","オーケー器材株式会社","通常","合板180^-180^ AF","","","2","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910203"
"3P745514B","ラベル銘板(キット銘板記載項目)","オーケー器材株式会社","通常","アート紙 ART PAPER","","","0.1","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910226"
"4P730437B","アース線","オーケー器材株式会社","通常","COPPER STRIPE. TERMINAL","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910206"
"4P730436B","ワイヤハーネス","オーケー器材株式会社","通常","UL1015,UL1007,UL1000","","","0.50,1.00","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910204"
"4P805525","取付板","オーケー器材株式会社","通常","SGCC Z08,SGCC Z09,SGCC Z10","","","1.60,1.80","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910207"
"2P806849","据付説明書","オーケー器材株式会社","通常","","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910252"
"2P805521","電装品箱(本体)","オーケー器材株式会社","通常","SS400","","","2.3","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910250"
"3P805636","組立要領図","オーケー器材株式会社","通常","GKH012-Z,GKH014-Z","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910249"
"3P805572","電装品箱(蓋)ASSY","オーケー器材株式会社","通常","SECC,SEALING MATERIAL","","","0.8","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910247"
"3P805635","電装品 ASSY","オーケー器材株式会社","通常","PLASTIC BAND,SEALING MATERIAL","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910245"
"3P805667","ワイヤーハーネスAS SY","オーケー器材株式会社","通常","A,E","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910241"
"3P810532","パッキングケース(梱包完成品)","オーケー器材株式会社","通常","段ボール (SUP),合板","","","7.00,12.00","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910239"
